date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:16	66024/66024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d18061e-101e8%22	https://colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons580c.woff	(from https://colorlib.com/preview/theme/clark/css/ionicons.min.css)
00:39:17	112648/112648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d18061d-1b808%22	https://colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons580c.ttf	(from https://colorlib.com/preview/theme/clark/css/ionicons.min.css)
00:39:18	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d18061d-4c76f%22	https://colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/ionicons/fonts/ionicons580c.svg	(from https://colorlib.com/preview/theme/clark/css/ionicons.min.css)
00:39:18	6590/6590	---M--	200	added ('OK')	application/octet-stream	etag:%225d180608-19be%22	https://colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.eot	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/clark/css/flaticon.css)
00:39:19	6590/6590	---M--	200	added ('OK')	application/octet-stream	etag:%225d180608-19be%22	https://colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.eot?	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/clark/css/flaticon.css)
00:39:19	4324/4324	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d18060a-10e4%22	https://colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.woff	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/clark/css/flaticon.css)
00:39:19	6412/6412	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d18060a-190c%22	https://colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.ttf	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.ttf	(from https://colorlib.com/preview/theme/clark/css/flaticon.css)
00:39:20	37477/37477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d180609-9265%22	https://colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.svg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/flaticon/font/Flaticon.svg	(from https://colorlib.com/preview/theme/clark/css/flaticon.css)
00:39:20	307332/307332	---M--	200	added ('OK')	application/octet-stream	etag:%225d1805e2-4b084%22	https://colorlib.com/preview/theme/clark/fonts/icomoon/icomoon.eot?6tt51o	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/icomoon/icomoonccfb.eot	(from https://colorlib.com/preview/theme/clark/css/icomoon.css)
00:39:20	307168/307168	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d1805e3-4afe0%22	https://colorlib.com/preview/theme/clark/fonts/icomoon/icomoon.ttf?6tt51o	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/icomoon/icomoonccfb.ttf	(from https://colorlib.com/preview/theme/clark/css/icomoon.css)
00:39:21	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d1805e4-4b02c%22	https://colorlib.com/preview/theme/clark/fonts/icomoon/icomoon.woff?6tt51o	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/icomoon/icomoonccfb.woff	(from https://colorlib.com/preview/theme/clark/css/icomoon.css)
00:39:21	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d1805e5-e45ad%22	https://colorlib.com/preview/theme/clark/fonts/icomoon/icomoon.svg?6tt51o	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/icomoon/icomoonccfb.svg	(from https://colorlib.com/preview/theme/clark/css/icomoon.css)
00:39:22	26538/26538	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202019%2019:39:21%20GMT	https://colorlib.com/preview/theme/clark/blog.html	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/blog.html	(from https://colorlib.com/preview/theme/clark/single.html)
00:39:22	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202019%2019:39:22%20GMT	https://colorlib.com/preview/theme/clark/images/image_4.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/image_4.jpg	(from https://colorlib.com/preview/theme/clark/single.html)
00:39:23	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b5-8cfa%22	https://colorlib.com/preview/theme/clark/images/person_1.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/person_1.jpg	(from https://colorlib.com/preview/theme/clark/single.html)
